system,n_examples,accuracy,macro_f1,per_intent_f1,confusion_matrix,escalation_accuracy
majority_class,196,0.015306,0.00335,"{""account_email_or_login"": 0.0, ""delivery_delay"": 0.0, ""delivery_tracking"": 0.0, ""gift_card_or_promotion"": 0.0, ""other_or_unclear"": 0.030151, ""payment_or_card_charge"": 0.0, ""prime_membership_or_benefits"": 0.0, ""refund_return_or_cancellation"": 0.0, ""website_app_or_technical_issue"": 0.0}","{""labels"": [""delivery_delay"", ""delivery_tracking"", ""refund_return_or_cancellation"", ""prime_membership_or_benefits"", ""account_email_or_login"", ""payment_or_card_charge"", ""gift_card_or_promotion"", ""website_app_or_technical_issue"", ""other_or_unclear""], ""matrix"": [[0, 0, 0, 0, 0, 0, 0, 0, 6], [0, 0, 0, 0, 0, 0, 0, 0, 28], [0, 0, 0, 0, 0, 0, 0, 0, 58], [0, 0, 0, 0, 0, 0, 0, 0, 31], [0, 0, 0, 0, 0, 0, 0, 0, 32], [0, 0, 0, 0, 0, 0, 0, 0, 22], [0, 0, 0, 0, 0, 0, 0, 0, 11], [0, 0, 0, 0, 0, 0, 0, 0, 5], [0, 0, 0, 0, 0, 0, 0, 0, 3]]}",
tfidf_logistic_regression,196,0.081633,0.105836,"{""account_email_or_login"": 0.0, ""delivery_delay"": 0.102564, ""delivery_tracking"": 0.125, ""gift_card_or_promotion"": 0.125, ""other_or_unclear"": 0.032, ""payment_or_card_charge"": 0.153846, ""prime_membership_or_benefits"": 0.157895, ""refund_return_or_cancellation"": 0.089552, ""website_app_or_technical_issue"": 0.166667}","{""labels"": [""delivery_delay"", ""delivery_tracking"", ""refund_return_or_cancellation"", ""prime_membership_or_benefits"", ""account_email_or_login"", ""payment_or_card_charge"", ""gift_card_or_promotion"", ""website_app_or_technical_issue"", ""other_or_unclear""], ""matrix"": [[2, 0, 1, 0, 0, 0, 0, 0, 3], [4, 2, 1, 2, 1, 1, 0, 1, 16], [10, 0, 3, 1, 1, 1, 3, 1, 38], [3, 0, 0, 3, 1, 0, 1, 1, 22], [7, 2, 3, 1, 0, 0, 0, 0, 19], [3, 0, 1, 0, 2, 2, 0, 2, 12], [3, 0, 0, 0, 0, 0, 1, 1, 6], [0, 0, 0, 0, 0, 0, 0, 1, 4], [1, 0, 0, 0, 0, 0, 0, 0, 2]]}",
balanced_amazonhelp_agent,196,0.096939,0.121689,"{""account_email_or_login"": 0.0, ""delivery_delay"": 0.095238, ""delivery_tracking"": 0.235294, ""gift_card_or_promotion"": 0.125, ""other_or_unclear"": 0.034483, ""payment_or_card_charge"": 0.153846, ""prime_membership_or_benefits"": 0.195122, ""refund_return_or_cancellation"": 0.089552, ""website_app_or_technical_issue"": 0.166667}","{""labels"": [""delivery_delay"", ""delivery_tracking"", ""refund_return_or_cancellation"", ""prime_membership_or_benefits"", ""account_email_or_login"", ""payment_or_card_charge"", ""gift_card_or_promotion"", ""website_app_or_technical_issue"", ""other_or_unclear""], ""matrix"": [[2, 0, 0, 0, 1, 0, 0, 0, 3], [4, 4, 2, 3, 1, 1, 0, 1, 12], [9, 0, 3, 2, 1, 1, 3, 1, 38], [5, 0, 0, 4, 1, 0, 1, 1, 19], [7, 2, 3, 1, 0, 0, 0, 0, 19], [5, 0, 1, 0, 2, 2, 0, 2, 10], [3, 0, 0, 0, 0, 0, 1, 1, 6], [0, 0, 0, 0, 0, 0, 0, 1, 4], [1, 0, 0, 0, 0, 0, 0, 0, 2]]}",0.392857
