system,n_examples,accuracy,macro_f1,per_intent_f1,confusion_matrix,escalation_accuracy
tfidf_logistic_regression_original,196,0.081633,0.105836,see original baseline_results.csv,see original baseline_results.csv,
tfidf_logistic_regression_improved,196,0.076531,0.068655,"{""account_email_or_login"": 0.0, ""delivery_delay"": 0.066225, ""delivery_tracking"": 0.066667, ""gift_card_or_promotion"": 0.142857, ""other_or_unclear"": 0.0, ""payment_or_card_charge"": 0.08, ""prime_membership_or_benefits"": 0.173913, ""refund_return_or_cancellation"": 0.088235, ""website_app_or_technical_issue"": 0.0}","{""labels"": [""delivery_delay"", ""delivery_tracking"", ""refund_return_or_cancellation"", ""prime_membership_or_benefits"", ""account_email_or_login"", ""payment_or_card_charge"", ""gift_card_or_promotion"", ""website_app_or_technical_issue"", ""other_or_unclear""], ""matrix"": [[5, 0, 0, 0, 1, 0, 0, 0, 0], [18, 1, 2, 4, 1, 1, 0, 1, 0], [43, 0, 3, 5, 2, 1, 1, 3, 0], [23, 0, 0, 4, 1, 0, 1, 2, 0], [26, 1, 4, 1, 0, 0, 0, 0, 0], [13, 0, 1, 1, 3, 1, 0, 3, 0], [9, 0, 0, 0, 0, 0, 1, 1, 0], [5, 0, 0, 0, 0, 0, 0, 0, 0], [3, 0, 0, 0, 0, 0, 0, 0, 0]]}",0.331633
